"fips","state","mean_no2","mean_ozone"
5127,"AR",6.317264111,39.62888961
5129,"AR",7.551159671,40.86092337
5131,"AR",12.65198447,40.07531755
5133,"AR",7.291905228,40.52758405
5135,"AR",6.756410216,39.49499494
5137,"AR",7.334646868,39.65222631
5139,"AR",9.473962688,39.49241441
5141,"AR",7.971116822,39.26382097
5143,"AR",10.27546031,40.68989633
5145,"AR",10.59545433,39.60227724
5147,"AR",14.01888853,40.09093562
5149,"AR",8.126618787,39.36645569
6001,"CA",24.09158675,33.17143438
6003,"CA",8.568338278,47.08428588
6005,"CA",11.35097081,45.12457336
6007,"CA",12.91034627,44.82867757
6009,"CA",12.34816943,45.79951102
6011,"CA",12.97731931,40.67712062
6013,"CA",18.13407657,36.24649178
6015,"CA",5.582805788,37.16651072
6017,"CA",11.99582262,45.9371759
6019,"CA",23.302121,46.27512404
6021,"CA",12.08819647,41.67829458
6023,"CA",5.935533762,35.61223231
6025,"CA",19.95120057,45.17240007
6027,"CA",14.17900452,45.36394221
6029,"CA",22.22694924,48.37821739
6031,"CA",18.55114699,43.22581803
6033,"CA",10.32909584,38.87229072
6035,"CA",12.82458953,42.93189257
6037,"CA",36.35123589,39.71186784
6039,"CA",13.12091663,47.8842539
6041,"CA",15.74170257,34.42581517
6043,"CA",9.574337952,49.00861922
6045,"CA",7.182591101,34.99286638
6047,"CA",16.55751282,44.12511463
6049,"CA",13.30643496,42.46228911
6051,"CA",9.884544824,47.83008636
6053,"CA",12.55271251,39.08953636
6055,"CA",12.48628656,36.88764732
6057,"CA",11.54480123,46.55106704
6059,"CA",30.73816888,38.83349027
6061,"CA",14.73238257,44.48155563
6063,"CA",12.17349024,45.05158201
6065,"CA",26.78453411,50.68855144
6067,"CA",23.65126929,43.19550393
6069,"CA",13.64747917,37.47406267
6071,"CA",31.87022532,50.59955788
6073,"CA",26.79658407,41.43442317
6075,"CA",25.74412253,33.94824508
6077,"CA",20.8476971,40.73297724
6079,"CA",12.43488503,38.22731268
6081,"CA",20.64646197,30.84833223
6083,"CA",12.76078197,39.1481733
6085,"CA",25.37581509,32.59633473
6087,"CA",9.437319191,35.57858095
6089,"CA",11.8008666,40.38070245
6091,"CA",10.31034084,46.62282535
6093,"CA",9.656666685,39.30453081
6095,"CA",16.67245007,35.98879953
6097,"CA",12.13688388,36.18582856
6099,"CA",19.57353976,42.23360044
6101,"CA",15.20855552,40.18768214
6103,"CA",11.88659419,42.79513402
6105,"CA",6.963320021,39.49526688
6107,"CA",19.92335065,45.59431991
6109,"CA",11.42071359,46.78790334
6111,"CA",19.16366276,41.03736815
6113,"CA",17.15667348,40.2644233
6115,"CA",10.77400389,43.92533756
8001,"CO",39.39715798,42.36677702
8003,"CO",11.05720779,46.45693142
8005,"CO",43.53779343,43.37027409
8007,"CO",8.869349558,43.76531531
8009,"CO",16.95849818,44.90626434
8011,"CO",18.74516252,43.89893498
8013,"CO",32.00657427,46.10807038
8014,"CO",36.80622023,43.83365063
8015,"CO",19.68832043,47.53997884
8017,"CO",19.47934861,44.38105857
8019,"CO",33.33806056,45.4311338
8021,"CO",10.65059421,43.82046396
8023,"CO",10.77932155,44.80138228
8025,"CO",18.53146128,44.83490436
8027,"CO",16.07731944,48.61223262
8029,"CO",12.17768973,46.87429864
8031,"CO",44.87925289,39.67317291
8033,"CO",9.717047853,46.32649916
8035,"CO",37.24780762,46.73775742
8037,"CO",20.64969442,45.85754797
8039,"CO",25.31052255,47.48919558
8041,"CO",34.01039573,45.04047285
8043,"CO",18.23463399,44.82977217
8045,"CO",15.09512014,45.87540431
8047,"CO",28.69569665,46.07831744
8049,"CO",20.51555269,49.39568634
8051,"CO",13.51376691,48.29399897
8053,"CO",8.541386705,50.53001737
8055,"CO",15.29752417,47.40947104
8057,"CO",8.208261155,47.68856521
8059,"CO",39.40558911,43.96118239
8061,"CO",18.24412463,45.50727958
8063,"CO",22.44027077,45.31912693
8065,"CO",19.61760778,51.70788807
8067,"CO",11.22224857,45.55134575
8069,"CO",25.77638835,46.00709895
8071,"CO",15.96865559,45.30194857
8073,"CO",23.5706838,45.71275531
8075,"CO",19.96850849,45.08766508
8077,"CO",13.47179097,46.76613218
8079,"CO",7.835247948,49.58396257
8081,"CO",8.757844528,46.78867989
8083,"CO",11.35643765,47.59734518
8085,"CO",10.4924649,46.95914039
8087,"CO",27.86454744,45.51810664
8089,"CO",20.36058541,43.27623367
8091,"CO",10.92132986,50.38438871
8093,"CO",20.42099413,46.57236716
8095,"CO",19.43993678,45.50517691
8097,"CO",20.24028313,48.76338967
8099,"CO",18.15249705,44.66286827
8101,"CO",21.66947045,45.55148743
8103,"CO",9.147281056,47.38965675
8105,"CO",10.52115395,46.2948956
8107,"CO",12.03639151,47.22112153
8109,"CO",13.82465034,46.3414833
8111,"CO",10.18589436,52.05819624
8113,"CO",9.896203199,49.29728466
8115,"CO",18.65408442,44.18900134
8117,"CO",27.95514414,49.07470637
8119,"CO",28.82456311,46.73312844
8121,"CO",24.62353289,45.46344504
8123,"CO",28.93526911,45.36886684
8125,"CO",20.10237508,45.06982682
9001,"CT",27.66855432,38.04300155
9003,"CT",23.08598867,37.59423331
